,index,latitude,longitude,duration
0,1.0,40.7647357,-73.988042,187.0
1,1.0,40.74717,-74.0008625,467.0
2,1.0,40.7448325,-73.9953307,146.0
3,2.0,40.7671295,-73.993723,5.0
4,2.0,40.763385,-73.996475,103.0
5,2.0,40.7634623,-73.9966328,29.0
6,3.0,40.7647357,-73.988042,187.0
7,3.0,40.7571543,-73.9935881,216.0
8,3.0,40.7543392,-73.9869051,195.0
9,3.0,40.7530131,-73.9873233,23.0
10,4.0,40.7671295,-73.993723,5.0
11,4.0,40.7665144,-73.9941846,39.0
12,4.0,40.7674705,-73.9964382,27.0
13,4.0,40.7668412,-73.9968981,88.0
14,4.0,40.7668993,-73.997028,2.0
15,4.0,40.7608377,-74.0024927,149.0
16,4.0,40.76073,-74.0025571,2.0
17,4.0,40.7484741,-74.0080489,257.0
18,4.0,40.7174444,-74.0131424,617.0
19,4.0,40.7175365,-74.0132308,82.0
20,5.0,40.7627274,-73.9832631,321.0
21,5.0,40.7606949,-73.9845701,34.0
22,6.0,40.7671295,-73.993723,5.0
23,6.0,40.7665144,-73.9941846,39.0
24,6.0,40.7674705,-73.9964382,27.0
25,6.0,40.7668412,-73.9968981,88.0
26,6.0,40.7668993,-73.997028,2.0
27,6.0,40.7608377,-74.0024927,149.0
28,6.0,40.76073,-74.0025571,2.0
29,6.0,40.7484741,-74.0080489,257.0
30,6.0,40.7242254,-74.0116054,480.0
31,6.0,40.7242681,-74.0111071,66.0
32,6.0,40.7241244,-74.0096487,25.0
33,7.0,40.7647357,-73.988042,187.0
34,7.0,40.7597409,-73.9917043,118.0
35,7.0,40.7561475,-73.983163,224.0
36,7.0,40.7555152,-73.9836229,113.0
37,7.0,40.7553295,-73.9831793,59.0
38,8.0,40.7647357,-73.988042,187.0
39,8.0,40.7458471,-74.0018474,516.0
40,8.0,40.744717,-73.9991791,67.0
41,9.0,40.7627274,-73.9832631,321.0
42,9.0,40.7623398,-73.9835057,6.0
43,10.0,40.7647357,-73.988042,187.0
44,10.0,40.7421744,-74.0045361,599.0
45,10.0,40.74085,-74.0051793,28.0
46,10.0,40.7368739,-74.0055605,102.0
47,10.0,40.7333734,-74.0043918,93.0
48,10.0,40.7329492,-74.0071228,62.0
49,11.0,40.7671295,-73.993723,5.0
