,index,latitude,longitude,duration
121,523.0,40.7368739,-74.0055605,152.0
122,523.0,40.7559504,-73.9907232,524.0
123,523.0,40.753554,-73.985043,131.0
124,523.0,40.7555152,-73.9836229,96.0
125,523.0,40.7553295,-73.9831793,53.0
126,524.0,40.7316756,-74.0066099,11.0
127,524.0,40.7368739,-74.0055605,152.0
128,524.0,40.7559504,-73.9907232,524.0
129,524.0,40.7515325,-73.9802219,270.0
130,524.0,40.7521408,-73.9797825,42.0
131,524.0,40.751412,-73.9780301,23.0
132,524.0,40.7518687,-73.9776959,7.0
133,525.0,40.7316756,-74.0066099,11.0
134,525.0,40.7368739,-74.0055605,152.0
135,525.0,40.761038,-73.987015,659.0
136,525.0,40.7578115,-73.9793609,185.0
137,525.0,40.7596942,-73.9780161,43.0
138,525.0,40.7571719,-73.97206,163.0
139,526.0,40.7316756,-74.0066099,11.0
140,526.0,40.7368739,-74.0055605,152.0
141,526.0,40.7390617,-74.0030973,77.0
142,526.0,40.7399554,-74.0051532,29.0
143,527.0,40.7317894,-74.0078129,13.0
144,527.0,40.7335607,-74.0073703,37.0
145,527.0,40.7339987,-74.0045951,69.0
146,527.0,40.7291715,-74.0012053,156.0
147,527.0,40.7270823,-74.002927,75.0
148,528.0,40.7316756,-74.0066099,11.0
149,528.0,40.7368739,-74.0055605,152.0
150,528.0,40.7446311,-73.9989763,224.0
151,528.0,40.744717,-73.9991791,54.0
152,529.0,40.7318819,-74.0087999,25.0
153,529.0,40.7260624,-74.0099167,111.0
154,529.0,40.723421,-73.9996026,251.0
155,529.0,40.7236065,-73.9994521,37.0
156,530.0,40.7316756,-74.0066099,11.0
157,530.0,40.7368739,-74.0055605,152.0
158,530.0,40.745952,-73.998009,276.0
159,530.0,40.7448325,-73.9953307,46.0
160,531.0,40.7316756,-74.0066099,11.0
161,531.0,40.7368739,-74.0055605,152.0
162,531.0,40.7509391,-73.9943601,391.0
163,532.0,40.7316756,-74.0066099,11.0
164,532.0,40.7368739,-74.0055605,152.0
165,532.0,40.742254,-74.000703,170.0
166,532.0,40.7396716,-73.9945945,158.0
167,533.0,40.7317894,-74.0078129,13.0
168,533.0,40.7335607,-74.0073703,37.0
169,533.0,40.7339987,-74.0045951,69.0
170,533.0,40.7303361,-74.0024887,98.0
