,index,latitude,longitude,duration
0,1679.0,40.7501536,-73.9769889,122.0
1,1679.0,40.7431004,-73.9821179,197.0
2,1680.0,40.7522003,-73.9818336,20.0
3,1680.0,40.7515863,-73.9822815,61.0
4,1680.0,40.7565386,-73.9940357,236.0
5,1680.0,40.7455402,-74.0020732,325.0
6,1681.0,40.7485585,-73.9731494,231.0
7,1681.0,40.7479306,-73.9736107,36.0
8,1681.0,40.7478509,-73.9734096,53.0
9,1682.0,40.7485585,-73.9731494,231.0
10,1682.0,40.74479,-73.9758798,95.0
11,1682.0,40.7432415,-73.971878,101.0
12,1682.0,40.7438436,-73.9714188,21.0
13,1682.0,40.7442175,-73.9712074,8.0
14,1683.0,40.7485585,-73.9731494,231.0
15,1683.0,40.74479,-73.9758798,95.0
16,1683.0,40.743209,-73.9719276,100.0
17,1683.0,40.7407002,-73.972449,55.0
18,1683.0,40.7388843,-73.9727015,37.0
19,1683.0,40.7389404,-73.9729334,4.0
20,1683.0,40.7370239,-73.9742449,43.0
21,1683.0,40.7214767,-73.9742585,325.0
22,1683.0,40.7196105,-73.9745374,36.0
23,1683.0,40.706584,-74.0020262,535.0
24,1683.0,40.7012005,-74.0123565,190.0
25,1683.0,40.7022455,-74.0129748,25.0
26,1683.0,40.7022261,-74.0138184,13.0
27,1683.0,40.7019074,-74.0140093,7.0
28,1684.0,40.7522003,-73.9818336,20.0
29,1684.0,40.7515863,-73.9822815,61.0
30,1684.0,40.7529461,-73.9855202,41.0
31,1684.0,40.754177,-73.984596,54.0
32,1684.0,40.7564481,-73.9899943,97.0
33,1685.0,40.7522003,-73.9818336,20.0
34,1685.0,40.7477694,-73.985072,150.0
35,1685.0,40.7489953,-73.9880316,47.0
36,1685.0,40.740324,-73.9894317,221.0
37,1686.0,40.7522003,-73.9818336,20.0
38,1686.0,40.7515863,-73.9822815,61.0
39,1686.0,40.7565386,-73.9940357,236.0
40,1686.0,40.7421744,-74.0045361,402.0
41,1687.0,40.7522003,-73.9818336,20.0
42,1687.0,40.7477694,-73.985072,150.0
43,1687.0,40.7489953,-73.9880316,47.0
44,1687.0,40.737098,-73.9903523,286.0
45,1687.0,40.737002,-73.990129,4.0
46,1688.0,40.7522003,-73.9818336,20.0
47,1688.0,40.7515863,-73.9822815,61.0
48,1688.0,40.7529461,-73.9855202,41.0
49,1688.0,40.754177,-73.984596,54.0
50,1688.0,40.7564481,-73.9899943,97.0
51,1689.0,40.7494983,-73.9753863,167.0
52,1689.0,40.7583489,-73.9689597,243.0
53,1689.0,40.7573799,-73.9666835,39.0
54,1689.0,40.7579981,-73.9662415,48.0
55,1689.0,40.7579257,-73.9660673,30.0
56,1690.0,40.7522003,-73.9818336,20.0
57,1690.0,40.7477694,-73.985072,150.0
58,1690.0,40.7489953,-73.9880316,47.0
59,1690.0,40.7423871,-73.9890975,127.0
60,1691.0,40.7475526,-73.9707756,293.0
61,1691.0,40.7514164,-73.9679338,209.0
62,1691.0,40.754499,-73.9656923,75.0
63,1691.0,40.7545896,-73.9659059,24.0
64,1692.0,40.7522003,-73.9818336,20.0
65,1692.0,40.7452043,-73.9869157,201.0
66,1693.0,40.7501536,-73.9769889,122.0
67,1693.0,40.7402923,-73.9841684,254.0
68,1694.0,40.7485585,-73.9731494,231.0
69,1694.0,40.7428747,-73.97728,165.0
70,1694.0,40.7428877,-73.9770106,43.0
71,1695.0,40.7522003,-73.9818336,20.0
72,1695.0,40.7515863,-73.9822815,61.0
73,1695.0,40.7565386,-73.9940357,236.0
74,1695.0,40.7446392,-74.0027306,346.0
75,1695.0,40.7434926,-74.0000109,68.0
76,1696.0,40.7522003,-73.9818336,20.0
77,1696.0,40.7515863,-73.9822815,61.0
78,1696.0,40.7565386,-73.9940357,236.0
79,1696.0,40.7421744,-74.0045361,402.0
80,1696.0,40.74085,-74.0051793,28.0
81,1696.0,40.7369194,-74.0059426,100.0
82,1696.0,40.73697,-74.0082505,27.0
83,1696.0,40.7361892,-74.0083389,16.0
84,1696.0,40.7364904,-74.0061729,37.0
85,1697.0,40.7522003,-73.9818336,20.0
86,1697.0,40.7477694,-73.985072,150.0
87,1697.0,40.7489953,-73.9880316,47.0
88,1697.0,40.7423132,-73.9890177,129.0
89,1697.0,40.7314123,-73.9969848,320.0
90,1697.0,40.7322213,-73.9986277,25.0
91,1697.0,40.7322878,-73.9985688,23.0
92,1698.0,40.7522003,-73.9818336,20.0
93,1698.0,40.7515863,-73.9822815,61.0
94,1698.0,40.7565386,-73.9940357,236.0
95,1698.0,40.7452271,-74.0023036,332.0
96,1698.0,40.7464045,-74.0051253,43.0
97,1698.0,40.7470178,-74.0046633,40.0
98,1698.0,40.7469491,-74.004498,3.0
99,1699.0,40.7522003,-73.9818336,20.0
100,1699.0,40.7465393,-73.9859729,174.0
101,1699.0,40.748982,-73.9917313,118.0
102,1700.0,40.7515325,-73.9802219,24.0
103,1700.0,40.7521408,-73.9797825,42.0
104,1700.0,40.751412,-73.9780301,23.0
105,1700.0,40.7518687,-73.9776959,7.0
