"station.id","X","station.name","latitude","longitude","year","index","boro","daily_trips"
72,0,"W 52 St & 11 Ave",40.76727216,-73.99392888,2013,1,"Manhattan",55.1379310344828
79,1,"Franklin St & W Broadway",40.71911552,-74.00666661,2013,2,"Manhattan",43.4252873563218
82,2,"St James Pl & Pearl St",40.71117416,-74.00016545,2013,3,"Manhattan",19.4942528735632
83,3,"Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,2013,4,"Brooklyn",20.8965517241379
116,4,"W 17 St & 8 Ave",40.74177603,-74.00149746,2013,5,"Manhattan",111.586206896552
119,5,"Park Ave & St Edwards St",40.69608941,-73.97803415,2013,6,"Brooklyn",4.80459770114942
120,6,"Lexington Ave & Classon Ave",40.68676793,-73.95928168,2013,7,"Brooklyn",12.9770114942529
127,7,"Barrow St & Hudson St",40.73172428,-74.00674436,2013,8,"Manhattan",109.494252873563
128,8,"MacDougal St & Prince St",40.72710258,-74.00297088,2013,9,"Manhattan",96.8620689655172
137,9,"E 56 St & Madison Ave",40.761628,-73.972924,2013,10,"Manhattan",48.0344827586207
143,10,"Clinton St & Joralemon St",40.69239502,-73.99337909,2013,11,"Brooklyn",18.7471264367816
144,11,"Nassau St & Navy St",40.69839895,-73.98068914,2013,12,"Brooklyn",8.14942528735632
146,12,"Hudson St & Reade St",40.71625008,-74.0091059,2013,13,"Manhattan",44.9540229885057
147,13,"Greenwich St & Warren St",40.71542197,-74.01121978,2013,14,"Manhattan",83.6436781609195
150,14,"E 2 St & Avenue C",40.7208736,-73.98085795,2013,15,"Manhattan",42.6206896551724
151,15,"Cleveland Pl & Spring St",40.7221037867,-73.9972490072,2013,16,"Manhattan",137.770114942529
152,16,"Warren St & Church St",40.71473993,-74.00910627,2013,17,"Manhattan",35.1034482758621
153,17,"E 40 St & 5 Ave",40.752062307,-73.9816324043,2013,18,"Manhattan",74.5632183908046
157,18,"Henry St & Atlantic Ave",40.69089272,-73.99612349,2013,19,"Brooklyn",27.5632183908046
160,19,"E 37 St & Lexington Ave",40.748238,-73.978311,2013,20,"Manhattan",41.632183908046
161,20,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,2013,21,"Manhattan",93.9310344827586
164,21,"E 47 St & 2 Ave",40.75323098,-73.97032517,2013,22,"Manhattan",47.3793103448276
167,22,"E 39 St & 3 Ave",40.7489006,-73.97604882,2013,23,"Manhattan",74.0114942528736
168,23,"W 18 St & 6 Ave",40.73971301,-73.99456405,2013,24,"Manhattan",131.459770114943
173,24,"Broadway & W 49 St",40.760683271,-73.9845272899,2013,25,"Manhattan",97.7701149425287
174,25,"E 25 St & 1 Ave",40.7381765,-73.97738662,2013,26,"Manhattan",68.6091954022989
195,26,"Liberty St & Broadway",40.70905623,-74.01043382,2013,27,"Manhattan",56.9655172413793
212,27,"W 16 St & The High Line",40.74334935,-74.00681753,2013,28,"Manhattan",79.2528735632184
216,28,"Columbia Heights & Cranberry St",40.70037867,-73.99548059,2013,29,"Brooklyn",9.10344827586207
217,29,"Old Fulton St",40.70277159,-73.99383605,2013,30,"Brooklyn",26.3793103448276
223,30,"W 13 St & 7 Ave",40.73781509,-73.99994661,2013,31,"Manhattan",76.2758620689655
224,31,"Spruce St & Nassau St",40.71146364,-74.00552427,2013,32,"Manhattan",36.183908045977
225,32,"W 14 St & The High Line",40.74195138,-74.00803013,2013,33,"Manhattan",44.7701149425287
228,33,"E 48 St & 3 Ave",40.7546011026,-73.971878855,2013,34,"Manhattan",59.2068965517241
229,34,"Great Jones St",40.72743423,-73.99379025,2013,35,"Manhattan",97.8390804597701
232,35,"Cadman Plaza E & Tillary St",40.69597683,-73.99014892,2013,36,"Brooklyn",13.8850574712644
233,36,"Cadman Plaza W & Pierrepont St",40.6947570136,-73.9905273914,2013,37,"Brooklyn",10.5057471264368
236,37,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,2013,38,"Manhattan",91.1379310344828
237,38,"E 11 St & 2 Ave",40.73047309,-73.98672378,2013,39,"Manhattan",96.3563218390805
238,39,"Bank St & Washington St",40.7361967,-74.00859207,2013,40,"Manhattan",49.2413793103448
239,40,"Willoughby St & Fleet St",40.69196566,-73.9813018,2013,41,"Brooklyn",26.2183908045977
241,41,"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,2013,42,"Brooklyn",16.9310344827586
242,42,"Carlton Ave & Flushing Ave",40.697787,-73.973736,2013,43,"Brooklyn",12.8275862068966
243,43,"Fulton St & Rockwell Pl",40.688226,-73.979382,2013,44,"Brooklyn",15.2988505747126
244,44,"Willoughby Ave & Hall St",40.69196035,-73.96536851,2013,45,"Brooklyn",19.5862068965517
245,45,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,2013,46,"Brooklyn",8.41379310344828
247,46,"Perry St & Bleecker St",40.73535398,-74.00483091,2013,47,"Manhattan",44.1034482758621
248,47,"Laight St & Hudson St",40.72185379,-74.00771779,2013,48,"Manhattan",19.8045977011494
249,48,"Harrison St & Hudson St",40.71870987,-74.0090009,2013,49,"Manhattan",34.816091954023
250,49,"Lafayette St & Jersey St",40.72456089,-73.99565293,2013,50,"Manhattan",124.183908045977
251,50,"Mott St & Prince St",40.72317958,-73.99480012,2013,51,"Manhattan",74.183908045977
252,51,"MacDougal St & Washington Sq",40.73226398,-73.99852205,2013,52,"Manhattan",60.8505747126437
253,52,"W 13 St & 5 Ave",40.73543934,-73.99453948,2013,53,"Manhattan",72.8390804597701
254,53,"W 11 St & 6 Ave",40.73532427,-73.99800419,2013,54,"Manhattan",50.4712643678161
