station.id,station.name,latitude,longitude,boroname
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Outer Boro
391,Clark St & Henry St,40.69760127,-73.99344559,Outer Boro
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,Outer Boro
144,Nassau St & Navy St,40.69839895,-73.98068914,Outer Boro
144,Nassau St & Navy St,40.69839895,-73.98068914,Outer Boro
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,Outer Boro
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,Outer Boro
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Outer Boro
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,Outer Boro
259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro
259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro
259,South St & Whitehall St,40.70122128,-74.01234218,Outer Boro
430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
430,York St & Jay St,40.7014851,-73.98656928,Outer Boro
418,Front St & Gold St,40.70224,-73.982578,Outer Boro
418,Front St & Gold St,40.70224,-73.982578,Outer Boro
2000,Front St & Washington St,40.70255,-73.9894,Outer Boro
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Outer Boro
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Outer Boro
315,South St & Gouverneur Ln,40.70355,-74.0067,Outer Boro
315,South St & Gouverneur Ln,40.70355377,-74.00670227,Outer Boro
337,Old Slip & Front St,40.7037992,-74.00838676,Outer Boro
304,Broadway & Battery Pl,40.70463334,-74.01361706,Outer Boro
351,Front St & Maiden Ln,40.70530954,-74.00612572,Outer Boro
3073,Division Ave & Hooper St,40.70691254,-73.95441667,Outer Boro
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Outer Boro
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Outer Boro
3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,Outer Boro
306,Cliff St & Fulton St,40.70823502,-74.00530063,Outer Boro
282,Kent Ave & S 11 St,40.70827295,-73.96834101,Outer Boro
195,Liberty St & Broadway,40.70905623,-74.01043382,Manhattan
316,Fulton St & William St,40.70955958,-74.00653609,Outer Boro
389,Broadway & Berry St,40.71044554,-73.96525063,Outer Boro
389,Broadway & Berry St,40.71044554,-73.96525063,Outer Boro
532,S 5 Pl & S 4 St,40.710451,-73.960876,
532,S 5 Pl & S 4 St,40.710451,-73.960876,
532,S 5 Pl & S 4 St,40.710451,-73.960876,
